filename,name_id,student_name,racial_group,gender_identity,pronouns,major,quant_level,volunteer_level,rigor_level,ec_level,replication,File name,Drive link,Total words,standout count,ability count,grindstone count,communal count,agentic count,competitive count,standout matched words,ability matched words,grindstone matched words,communal matched words,agentic matched words,competitive matched words
resume_01_CS_HHHH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,high,high,high,1,resume_01_CS_HHHH.docx,,305,0,1,1,7,8,3,,capable (1),diligence (1),"collaborate (1), group (1), honest (1), honestly (1), share (1), team (2)","accomplishments (1), capable (1), competitive (1), confident (1), eager (1), initiative (1), leadership (1), struggled (1)","competitive (1), strong (1), top (1)"
resume_01_CS_HHHL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,high,high,low,1,resume_01_CS_HHHL.docx,,307,1,1,3,3,10,3,most (1),capable (1),"diligent (1), hardworking (1), reliable (1)","courteous (1), service (2)","aptitude (1), capable (1), confident (1), earned (2), initiative (1), leadership (2), recognition (1), should (1)","hardworking (1), strong (1), top (1)"
resume_01_CS_HHLH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,high,low,high,1,resume_01_CS_HHLH.docx,,312,2,2,1,8,6,3,best (2),"capable (1), talented (1)",hardworking (1),"honest (1), service (1), share (2), shared (1), supportive (1), team (2)","accomplishments (1), aptitude (1), capable (1), confident (1), fluency (1), recognition (1)","hardworking (1), motivated (1), serious (1)"
resume_01_CS_HHLL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,high,low,low,1,resume_01_CS_HHLL.docx,,305,2,0,2,3,8,3,"best (1), most (1)",,"conscientious (1), diligent (1)","honest (1), service (2)","accomplishments (1), aptitude (1), confident (1), earned (1), initiative (1), leadership (2), recognizes (1)","promising (1), strong (1), top (1)"
resume_01_CS_HLHH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,low,high,high,1,resume_01_CS_HLHH.docx,,308,1,2,2,11,7,4,most (1),"capable (1), gifted (1)","organize (1), responsibility (1)","collaborative (1), contribute (1), group (1), honest (1), honesty (1), interpersonal (1), learn (1), shared (1), team (3)","accomplishments (1), capable (1), initiative (1), leader (1), leadership (2), willingness (1)","motivated (1), persistence (1), strong (1), top (1)"
resume_01_CS_HLHL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,low,high,low,1,resume_01_CS_HLHL.docx,,305,0,3,5,3,5,5,,"ability (1), capable (1), talented (1)","conscientious (1), dependable (1), reliable (1), responsibility (1), thorough (1)","enthusiasm (1), honest (1), kind (1)","capable (1), confident (1), leadership (1), recognition (1), willingness (1)","enthusiasm (1), intellectual (1), strong (2), top (1)"
resume_01_CS_HLLH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,low,low,high,1,resume_01_CS_HLLH.docx,,318,0,2,1,7,8,9,,"ability (1), capable (1)",hardworking (1),"collaborate (1), contribute (1), enthusiasm (1), honest (1), share (1), team (2)","accomplishments (1), ambitions (1), aptitude (1), capable (1), confident (1), independent (1), initiative (1), self-taught (1)","enthusiasm (1), hardworking (1), independent (1), motivated (1), persistence (1), promising (1), strong (2), top (1)"
resume_01_CS_HLLL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,low,low,low,1,resume_01_CS_HLLL.docx,,309,0,3,4,3,7,4,,"ability (1), capable (1), capacity (1)","conscientious (1), diligence (1), reliable (1), trust (1)","honest (1), service (1), trust (1)","accurate (1), ambitious (1), aptitude (1), capable (1), earnest (1), independent (1), leadership (1)","independent (1), serious (1), strong (1), top (1)"
resume_01_CS_LHHH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,low,high,high,high,1,resume_01_CS_LHHH.docx,,313,3,1,0,6,6,2,"exceptional (1), most (2)",ability (1),,"collaborate (1), generous (1), honesty (1), service (1), team (2)","accomplishment (1), earned (1), initiative (1), leader (1), leadership (1), struggled (1)","strong (1), top (1)"
resume_01_CS_LHHL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,low,high,high,low,1,resume_01_CS_LHHL.docx,,315,2,0,2,4,8,3,"most (1), strongest (1)",,"conscientious (1), hardworking (1)","contribute (1), honest (1), service (2)","accomplishment (1), difficulty (1), earning (1), initiative (2), leadership (1), recognition (1), willingness (1)","hardworking (1), persistence (1), top (1)"
