filename,name_id,student_name,racial_group,gender_identity,pronouns,major,quant_level,volunteer_level,rigor_level,ec_level,replication,File name,Drive link,Total words,standout count,ability count,grindstone count,communal count,agentic count,competitive count,standout matched words,ability matched words,grindstone matched words,communal matched words,agentic matched words,competitive matched words
resume_01_CS_HHHH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,high,high,high,1,resume_01_CS_HHHH.docx,,310,4,2,0,7,5,3,"best (1), extraordinary (1), highest (1), most (1)","ability (1), talented (1)",,"enthusiasm (2), generosity (1), learn (1), service (1), team (2)","fluency (1), fluent (1), initiative (1), leadership (1), risks (1)","enthusiasm (2), top (1)"
resume_01_CS_HHHL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,high,high,low,1,resume_01_CS_HHHL.docx,,301,5,3,2,6,7,8,"exceptional (1), highest (2), most (2)","analytical (1), capable (1), expertise (1)","hardworking (1), responsibility (1)","compassion (1), enthusiasm (2), kind (1), service (1), social (1)","capable (1), earning (1), expertise (1), initiative (1), leadership (1), practical (1), recognition (1)","enthusiasm (2), excellence (1), hardworking (1), intellectual (1), persistence (1), strong (1), top (1)"
resume_01_CS_HHLH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,high,low,high,1,resume_01_CS_HHLH.docx,,306,2,1,0,7,8,3,"highest (1), most (1)",capable (1),,"enthusiasm (1), generous (1), group (1), kind (1), service (1), team (2)","accomplishments (1), ambition (1), capable (1), competitive (1), fluency (1), initiative (1), leadership (1), thinking (1)","competitive (1), enthusiasm (1), top (1)"
resume_01_CS_HHLL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,high,low,low,1,resume_01_CS_HHLL.docx,,297,3,0,1,4,11,6,"highest (1), most (2)",,responsibility (1),"enthusiasm (1), kind (1), quiet (1), service (1)","aptitude (1), competence (1), determination (1), earning (1), independently (1), initiative (1), leadership (1), logical (1), practical (1), thinking (1), willingness (1)","enthusiasm (1), independently (1), outstanding (1), persistence (1), strong (1), top (1)"
resume_01_CS_HLHH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,low,high,high,1,resume_01_CS_HLHH.docx,,306,3,3,0,7,6,5,"exceptional (1), highest (1), most (1)","ability (1), capable (1), talented (1)",,"collaborative (1), enthusiasm (1), generosity (1), group (1), kind (1), passion (1), team (1)","accomplishment (1), capable (1), competitive (1), fluency (1), leadership (1), recognition (1)","competitive (1), enthusiasm (1), passion (1), persistence (1), top (1)"
resume_01_CS_HLHL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,low,high,low,1,resume_01_CS_HLHL.docx,,302,3,2,0,4,4,2,"highest (1), most (2)","ability (1), capable (1)",,"generous (1), pleasure (1), quiet (1), warm (1)","ambition (1), capable (1), initiative (1), self-directed (1)","excellence (1), top (1)"
resume_01_CS_HLLH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,low,low,high,1,resume_01_CS_HLLH.docx,,306,5,3,0,7,5,6,"exceptional (1), most (3), standout (1)","ability (2), capable (1)",,"collaborative (1), enthusiasm (1), generous (1), group (1), sharing (1), team (2)","capable (1), competitive (1), confident (1), fluency (1), initiative (1)","competitive (1), enthusiasm (1), intellectual (1), persistence (1), top (2)"
resume_01_CS_HLLL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,high,low,low,low,1,resume_01_CS_HLLL.docx,,308,2,2,1,7,5,4,most (2),"ability (1), analytical (1)",disciplined (1),"collaborates (1), contribute (1), enthusiasm (1), generously (1), kind (1), pleasure (1), quiet (1)","determination (1), earning (1), logic (1), thinking (1), willingness (1)","enthusiasm (1), excellence (1), strong (1), top (1)"
resume_01_CS_LHHH.txt,1,Elizabeth Anderson,White,Female,she/her,CS,low,high,high,high,1,resume_01_CS_LHHH.docx,,295,4,2,0,8,6,2,"most (2), remarkable (1), strongest (1)","ability (1), instinct (1)",,"enthusiasm (1), generosity (2), group (1), service (2), talk (1), team (1)","confident (1), earning (1), fluent (1), leadership (1), recognition (1), thinking (1)","enthusiasm (1), persistence (1)"
resume_01_CS_LHHL.txt,1,Elizabeth Anderson,White,Female,she/her,CS,low,high,high,low,1,resume_01_CS_LHHL.docx,,308,1,0,2,8,8,6,most (1),,"hardworking (1), responsibility (1)","enthusiasm (2), generous (1), kind (2), pleasure (1), service (2)","ambitions (1), determined (1), difficult (1), initiative (1), leadership (1), mastering (1), recognition (1), willingness (1)","enthusiasm (2), hardworking (1), intellectual (1), motivated (1), promising (1)"
