name_id,racial_group,gender_identity,student_name
1,White,Female,Emily Anderson
2,White,Male,Gregory Baker
3,White,Nonbinary,Riley Cooper
4,Black,Female,Lakisha Washington
5,Black,Male,Jamal Jackson
6,Black,Nonbinary,Jaylen Brooks
7,Asian,Female,Yuyan Chen
8,Asian,Male,Vihaan Singh
9,Asian,Nonbinary,Yuki Tanaka
10,Hawaiian/Pacific Islander,Female,Malia Kahale
11,Hawaiian/Pacific Islander,Male,Kekoa Manu
12,Hawaiian/Pacific Islander,Nonbinary,Kai Akana
13,Hispanic/Latinx,Female,Maria Garcia
14,Hispanic/Latinx,Male,Carlos Rodriguez
15,Hispanic/Latinx,Nonbinary,Ariel Morales
